City Name,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MpH)
sampit,id,-2.54,112.95,77.05,89,0,7.18
glens falls,us,43.31,-73.64,69.01,70,20,5.82
yamada,jp,36.58,137.08,89.6,46,75,3.36
novosibirsk,ru,55.03,82.92,55.4,93,90,8.95
fukue,jp,35.03,136.69,84.04,70,75,32.21
ostrovnoy,ru,68.05,39.51,45.55,93,92,16.13
mayor pablo lagerenza,py,-19.93,-60.77,58.6,79,0,7.18
wuwei,cn,37.93,102.64,51.13,80,0,2.37
manzhouli,cn,49.6,117.43,65.44,73,0,2.48
carutapera,br,-1.2,-46.02,78.49,83,0,8.75
saldanha,za,41.42,-6.55,63.91,82,24,2.71
middelburg,za,-25.77,29.46,46.63,45,0,2.37
biltine,td,14.53,20.93,71.92,90,24,8.19
preeceville,ca,51.95,-102.67,77.95,36,0,11.1
bafq,ir,31.6,55.4,62.11,34,0,2.59
borogontsy,ru,62.67,131.17,65.26,84,32,3.71
tromso,no,69.65,18.96,46.4,87,0,21.92
matelica,it,43.26,13.01,62.6,93,12,4.7
salinopolis,br,-0.61,-47.36,80.74,95,0,13.11
mount isa,au,-20.73,139.49,80.6,23,0,14.99
porto novo,cv,-23.68,-45.44,68.0,72,20,5.82
acapulco,mx,16.86,-99.88,87.8,66,40,9.17
sola,vu,58.89,5.65,54.48,93,90,3.36
derzhavinsk,kz,51.1,66.31,58.51,77,0,9.31
nishihara,jp,35.74,139.53,86.38,62,40,3.36
luanda,ao,-8.83,13.24,69.8,88,75,6.93
mochicahui,mx,25.95,-108.93,82.4,69,75,8.05
qasigiannguit,gl,68.82,-51.19,37.4,69,44,4.7
egvekinot,ru,66.32,-179.17,52.93,76,20,5.06
maldonado,uy,-34.91,-54.96,44.6,81,0,5.82
boguchany,ru,58.38,97.46,61.03,100,92,3.49
sawakin,sd,19.1,37.33,82.9,74,24,1.36
sao felix do xingu,br,-6.64,-51.99,77.86,72,24,2.15
turukhansk,ru,65.8,87.96,54.1,77,0,10.2
volokolamsk,ru,56.03,35.95,45.28,84,0,5.61
severodvinsk,ru,64.56,39.82,42.8,100,0,2.24
miri,my,10.31,9.75,67.06,95,48,6.73
svetlogorsk,ru,53.14,59.15,57.2,54,40,6.71
northam,au,51.04,-4.21,64.98,88,40,9.17
delta del tigre,uy,-34.76,-56.41,48.2,76,0,9.17
puerto ayacucho,ve,5.66,-67.63,82.4,69,40,2.48
geraldton,au,49.72,-86.95,68.0,52,40,5.82
puerto montt,cl,-41.47,-72.94,44.6,100,90,11.41
